case_label,stress,baseline_state,perturbation_type,seed,time,var_n,var_w,var_q,cv_n,cv_w,cv_q,min_n,min_w,min_q,max_q,min_z
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1485.0,4.720568624598334e-25,1.3136549327407834e-25,1.3096689622155604e-25,1.4215116072431247e-13,5.648474485215906e-13,1.8507137335908087e-12,4.833333333336042,0.6416666666638824,0.19554266055803013,0.1955426605594402,1.1916666666640934
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1490.0,1.2614062347444783e-24,3.4921213345487646e-25,1.2661221961445377e-25,2.323703644339837e-13,9.209481575094313e-13,1.819685319091728e-12,4.833333333336044,0.6416666666631348,0.19554266055801348,0.19554266055939926,1.1916666666634455
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1495.0,2.508599756500735e-24,6.852543423102769e-25,1.1983643396702496e-25,3.276943401091952e-13,1.2900793362309397e-12,1.7703246585044193e-12,4.833333333336015,0.6416666666621288,0.19554266055799682,0.19554266055934447,1.1916666666624938
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1500.0,3.9303179540775705e-24,1.0650227313216095e-24,1.1125728623265446e-25,4.1017302451929375e-13,1.6083107303927608e-12,1.7057787952574486e-12,4.833333333335961,0.6416666666613199,0.19554266055798017,0.1955426605592784,1.1916666666617193
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1505.0,5.3249320455460136e-24,1.4355775670773413e-24,1.0144963739111631e-25,4.774306402167236e-13,1.867255952206342e-12,1.6288598919518797e-12,4.833333333335884,0.641666666660692,0.19554266055796443,0.19554266055920352,1.1916666666611169
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1510.0,6.557369371905996e-24,1.761752079692824e-24,9.093713894328715e-26,5.298074688865095e-13,2.0685352079519005e-12,1.5421588953140668e-12,4.833333333335791,0.641666666660228,0.19554266055794917,0.19554266055912198,1.1916666666606688
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1515.0,7.547919717567728e-24,2.0226083232804788e-24,8.021707787931922e-26,5.684167780503669e-13,2.2163911936644483e-12,1.4484112817152184e-12,4.833333333335679,0.64166666665991,0.19554266055793426,0.19554266055903577,1.1916666666603588
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1520.0,8.257551228898483e-24,2.208569527263424e-24,6.967455086801067e-26,5.945370047251194e-13,2.316040015815034e-12,1.3498812625560334e-12,4.833333333335556,0.6416666666597217,0.19554266055792038,0.19554266055894648,1.1916666666601723
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1525.0,8.680913954854083e-24,2.3180982210147386e-24,5.96313433796543e-26,6.095873951772187e-13,2.3727743433574992e-12,1.2488083005658281e-12,4.833333333335425,0.6416666666596473,0.19554266055790698,0.1955426605588562,1.191666666660093
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1530.0,8.834260262411829e-24,2.3559227675992476e-24,5.029567680544685e-26,6.149479347719885e-13,2.392054363347872e-12,1.1468953935006776e-12,4.833333333335285,0.6416666666596714,0.1955426605578945,0.19554266055876596,1.1916666666601081
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1535.0,8.747357643918762e-24,2.330091420049481e-24,4.175464952118776e-26,6.119158382326474e-13,2.3789044637832993e-12,1.0449870330063123e-12,4.833333333335145,0.64166666665978,0.195542660557883,0.1955426605586763,1.1916666666602027
