D_n,D_w,D_q,D_w_over_D_n,D_q_over_D_n,stress,q_star,zero_mode_growth,max_nonzero_mode_growth,most_unstable_m,most_unstable_n,most_unstable_lambda,positive_modes_count,near_zero_modes_count,nonzero_modes_stable,stability_class
0.01,0.03,0.001,3.0,0.1,0.16486816,0.19554266055783315,-0.01465247062034078,-0.007873976523214933,0,12,3.553057584392169,0,0,True,linearly_spatially_stable
0.01,0.03,0.001,3.0,0.1,0.175,0.16622458001768367,-0.012681581449417077,-0.007417367990349528,6,10,3.355665496370382,0,0,True,linearly_spatially_stable
0.01,0.03,0.005,3.0,0.5,0.11765625,0.3321577847439918,-0.023581704072263975,-0.018398539000647796,2,7,1.3077225831443398,0,0,True,linearly_spatially_stable
0.01,0.03,0.005,3.0,0.5,0.1584375,0.21415079173699889,-0.015893894916853914,-0.01630983239426157,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.005,3.0,0.5,0.16486816,0.19554266055783315,-0.01465247062034078,-0.015068233933054337,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.005,3.0,0.5,0.175,0.16622458001768367,-0.012681581449417077,-0.01309707487581772,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.01,3.0,1.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.024060490582580932,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.01,3.0,1.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.016371520959581748,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.01,3.0,1.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.015129922225408923,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.01,3.0,1.0,0.175,0.16622458001768367,-0.012681581449417077,-0.013158762722734692,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.02,3.0,2.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.024183870767265504,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.02,3.0,2.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.016494898090770392,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.02,3.0,2.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.01525329881062027,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.02,3.0,2.0,0.175,0.16622458001768367,-0.012681581449417077,-0.013282138416996894,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.1,0.0005,10.0,0.05,0.11765625,0.3321577847439918,-0.023581704072263975,-0.0038769774318234314,5,11,3.602405606397615,0,0,True,linearly_spatially_stable
