case_label,stress,q0,w0_scale,time,mean_n,mean_w,mean_q,var_n,var_w,var_q,min_n,min_w,min_q,max_q,min_z
extinct_case,0.16486816,0.9,0.02,50.0,5.895701612928555,1.541354845439101e-05,0.8183355338676508,5.994605415262492e-13,5.74709509666772e-20,4.228060432458141e-12,5.895698053009551,1.5412414708884096e-05,0.8183303133369083,0.8183449836562936,0.7709476735286421
extinct_case,0.16486816,0.9,0.02,55.0,5.89955206657897,8.286104333535555e-06,0.8081210618556136,5.760584686923682e-13,1.9003067206581046e-20,4.140300183686905e-12,5.89954854690112,8.285456168195844e-06,0.8081158550646431,0.8081304948540409,0.7671043708044137
extinct_case,0.16486816,0.9,0.02,60.0,5.903498946837333,4.5042745718282995e-06,0.7975290655239411,5.559483121650866e-13,6.365299204751708e-21,4.07545108901846e-12,5.903495471363458,4.503902399321524e-06,0.7975238675879281,0.7975384737846017,0.763161295093222
extinct_case,0.16486816,0.9,0.02,65.0,5.907539186780882,2.4765847321462163e-06,0.7865651769421143,5.38089498786201e-13,2.1636967381480493e-21,4.026354290876317e-12,5.907535759500604,2.4763698069724036e-06,0.7865599888278659,0.7865745515454889,0.7591231062716928
extinct_case,0.16486816,0.9,0.02,70.0,5.911667791326968,1.377703282352432e-06,0.7752369417311276,5.21736317038961e-13,7.474755852900911e-22,3.987758785758296e-12,5.9116644161808525,1.3775783151774044e-06,0.7752317476409304,0.7752462731340738,0.7549956181357368
extinct_case,0.16486816,0.9,0.02,75.0,5.915878503489401,7.756125379068713e-07,0.7635538465960008,5.063461313610327e-13,2.627639405842409e-22,3.955688593118409e-12,5.915875184314133,7.755393119671514e-07,0.7635486368282592,0.7635631248537332,0.750785523054467
extinct_case,0.16486816,0.9,0.02,80.0,5.920164173930703,4.420021526699594e-07,0.7515273205826756,4.915218247731429e-13,9.409584617780745e-23,3.927058362309014e-12,5.920160914416175,4.4195887916317526e-07,0.7515221001097201,0.7515365355018016,0.7465002033646971
extinct_case,0.16486816,0.9,0.02,85.0,5.924516984482992,2.5502856582019117e-07,0.7391707105839932,4.769741533442933e-13,3.4356932874057156e-23,3.899432115455173e-12,5.92451378813668,2.550027585513816e-07,0.7391654842058554,0.73917985183848,0.7421475989135751
extinct_case,0.16486816,0.9,0.02,90.0,5.92892860044474,1.4901246870617e-07,0.7264992314843219,4.624961534839656e-13,1.2801048805855061e-23,3.87086770214705e-12,5.928925470561094,1.4899692852030748e-07,0.7264940039745884,0.7265082887119739,0.7377361099686482
extinct_case,0.16486816,0.9,0.02,95.0,5.933390288663194,8.818600451389732e-08,0.7135298915489751,4.479450709090201e-13,4.8703848227155886e-24,3.8398140982174055e-12,5.9333872282969375,8.817655172783704e-08,0.7135246677520921,0.7135388544378835,0.7332745053691322
